,j,R,RV
2020-08-26,-11.252518066349136,0.20098659223760743,31958.67765528933
2020-08-25,-11.252518066349136,0.21373998323797588,31961.89150982142
2020-08-24,-11.252518066349136,0.23363176521499285,31966.90423887963
2020-08-21,-11.252518066349136,0.19989563323666767,31958.402733621093
2020-08-20,-11.252518066349136,0.19529768909107775,31957.244051696405
2020-08-19,-11.252518066349136,0.259437140782762,31973.407193522708
2020-08-18,-11.252518066349136,0.22154125706249592,31963.857430825203
2020-08-17,-11.252518066349136,0.05447840293431627,31921.7575915849
2020-08-14,-11.252518066349136,0.27732046407830635,31977.913790993185
2020-08-13,-11.252518066349136,0.37250134575208144,32001.899373174976
2020-08-12,-11.252518066349136,0.2992561572535175,31983.44158567334
2020-08-11,-11.252518066349136,0.6607280364638934,32074.532499234352
2020-08-10,-11.252518066349136,0.29962783589960557,31983.53524869215
2020-08-07,-11.252518066349136,0.45985107629738275,32023.911505272394
2020-08-06,-11.252518066349136,0.2547983235220496,31972.23821157301
2020-08-05,-11.252518066349136,0.16366082580753713,31949.27156214895
2020-08-04,-11.252518066349136,0.21870576558931798,31963.14288697396
2020-08-03,-11.252518066349136,0.29102195284005095,31981.366566161145
2020-07-30,-11.252518066349136,0.6792471061318361,32079.199304790676
2020-07-29,-11.252518066349136,0.3455389121889253,31995.10483991706
2020-07-28,-11.252518066349136,0.3652392556971833,32000.06932648114
