,j,R,RV
2020-08-16,-12.633936017233873,0.07363364854501815,40241.873179898284
2020-08-14,-12.633936017233873,0.7848293632591669,40421.09450000626
2020-08-13,-12.633936017233873,1.0002325910875227,40475.376113419
2020-08-12,-12.633936017233873,1.0915152870645548,40498.37935280521
2020-08-11,-12.633936017233873,0.8287634521768233,40432.165890413504
2020-08-10,-12.633936017233873,0.6274186215857872,40381.42699310456
2020-08-09,-12.633936017233873,0.054238672446310164,40236.98564592141
2020-08-07,-12.633936017233873,0.8512778941557001,40437.839529792174
2020-08-06,-12.633936017233873,0.8715869680398806,40442.957416410994
2020-08-05,-12.633936017233873,0.6776414548346524,40394.08314708328
2020-08-04,-12.633936017233873,0.7994764201680722,40424.7855583473
2020-08-03,-12.633936017233873,1.0806738986215776,40495.647322917575
2020-08-02,-12.633936017233873,0.1417980373113285,40259.0506058674
2020-07-30,-12.633936017233873,1.282859022708154,40546.597974187396
2020-07-29,-12.633936017233873,0.5431178590988912,40360.183200957865
2020-07-28,-12.633936017233873,0.6013595046322732,40374.86009563228
2020-07-27,-12.633936017233873,0.6330995630463595,40382.858590352625
2020-07-26,-12.633936017233873,0.12675956052896548,40255.26090971824
2020-07-24,-12.633936017233873,1.2019839940296697,40526.21746696042
2020-07-23,-12.633936017233873,0.9557162829917465,40464.158003778866
2020-07-22,-12.633936017233873,0.530471727866963,40356.99637588742
2020-07-21,-12.633936017233873,0.6060596376002868,40376.044529140214
2020-07-20,-12.633936017233873,0.6287410480091832,40381.76024456326
2020-07-19,-12.633936017233873,0.05767570386902206,40237.85177783994
2020-07-17,-12.633936017233873,0.6314486218201434,40382.44255316362
2020-07-16,-12.633936017233873,0.8566382032370028,40439.19032768067
2020-07-15,-12.633936017233873,0.8702297286420563,40442.61539208274
2020-07-14,-12.633936017233873,1.4905738822425485,40598.942118790066
2020-07-13,-12.633936017233873,0.837555631445137,40434.381519589115
2020-07-12,-12.633936017233873,0.03256881172384536,40231.52484101935
2020-07-10,-12.633936017233873,1.0401408638537253,40485.43299815609
2020-07-09,-12.633936017233873,1.181583024540338,40521.07642264911
2020-07-08,-12.633936017233873,1.0932767742945246,40498.82324758717
2020-07-07,-12.633936017233873,0.9756652972246844,40469.185155365565
2020-07-06,-12.633936017233873,1.109734884578948,40502.97069137884
2020-07-05,-12.633936017233873,0.04508480121856295,40234.67887037202
2020-07-03,-12.633936017233873,0.6688396372798413,40391.86508905946
2020-07-02,-12.633936017233873,1.3226691300920277,40556.630121248134
2020-07-01,-12.633936017233873,1.3642146707117886,40567.09959748432
2020-06-29,-12.633936017233873,1.8189159509079502,40681.684320093744
2020-06-28,-12.633936017233873,0.06839782180409666,40240.55375155958
2020-06-26,-12.633936017233873,1.0779236941250876,40494.954271384464
2020-06-25,-12.633936017233873,2.2903905387645227,40800.4959162336
2020-06-24,-12.633936017233873,1.8027936515681242,40677.62150066011
2020-06-23,-12.633936017233873,2.5477995124546755,40865.36297760352
2020-06-22,-12.633936017233873,1.5392537808109759,40611.20945322931
2020-06-21,-12.633936017233873,0.12683490711926146,40255.279897059
2020-06-19,-12.633936017233873,1.6487218335202705,40638.795402512056
2020-06-18,-12.633936017233873,2.655430491280189,40892.48598426755
2020-06-17,-12.633936017233873,2.7221915813841178,40909.309778973744
2020-06-16,-12.633936017233873,4.436111036332203,41341.21748162065
2020-06-15,-12.633936017233873,5.391882970054831,41582.07200891876
2020-06-14,-12.633936017233873,0.26208411870543474,40289.36269837872
2020-06-12,-12.633936017233873,5.633678575541576,41643.00450150142
2020-06-11,-12.633936017233873,4.353755493004732,41320.46388470214
