,j,R,RV
2020-10-05,-14.293670193239052,0.711676999387649,51665.2125173045
2020-10-02,-14.293670193239052,1.3933048263164833,51836.982729690564
2020-10-01,-14.293670193239052,0.5989294796295764,51636.80014232547
2020-09-29,-14.293670193239052,0.8564006664910185,51701.68288141455
2020-09-28,-14.293670193239052,1.0795145517978,51757.907580511855
2020-09-25,-14.293670193239052,1.3502905335392155,51826.14312791069
2020-09-24,-14.293670193239052,1.844531957095216,51950.69196664681
2020-09-23,-14.293670193239052,1.1869262877212068,51784.975337964555
2020-09-22,-14.293670193239052,1.5133873838580676,51867.24353419104
2020-09-21,-14.293670193239052,1.4690402578021564,51856.06805842496
2020-09-18,-14.293670193239052,1.7320004254718646,51922.334020677714
2020-09-17,-14.293670193239052,1.055029908981441,51751.73745052214
2020-09-16,-14.293670193239052,0.8890222900208804,51709.90353054407
2020-09-15,-14.293670193239052,0.8298971193478598,51695.003987534474
2020-09-14,-14.293670193239052,0.8045079769653198,51688.60592365407
2020-09-11,-14.293670193239052,1.3791877805722486,51833.42523416301
2020-09-10,-14.293670193239052,1.5548687553770544,51877.69683981383
2020-09-09,-14.293670193239052,2.4396687773006707,52100.66644533858
2020-09-08,-14.293670193239052,1.9329230622208065,51972.96652513845
2020-09-07,-14.293670193239052,1.5073521141688901,51865.72264622937
2020-09-04,-14.293670193239052,1.884709912380294,51960.816811378645
2020-09-03,-14.293670193239052,1.805337350307696,51940.81492573635
2020-09-02,-14.293670193239052,1.3428762368945115,51824.274725156225
2020-09-01,-14.293670193239052,1.1661455554931563,51779.738593443086
2020-08-28,-14.293670193239052,1.8224535473303465,51945.12820738606
2020-08-27,-14.293670193239052,0.9353347662728477,51721.57427455957
2020-08-26,-14.293670193239052,1.1949435859221873,51786.9956971112
2020-08-25,-14.293670193239052,1.0946245405902433,51761.71529768755
2020-08-24,-14.293670193239052,1.564145287500617,51880.034525908966
2020-08-21,-14.293670193239052,1.1706395462285868,51780.871079108416
2020-08-20,-14.293670193239052,1.4343383600444808,51847.32318019002
2020-08-19,-14.293670193239052,1.655792697959954,51903.129673344716
2020-08-18,-14.293670193239052,1.0071579530298955,51739.67371762234
2020-08-17,-14.293670193239052,2.326577775727393,52072.16751294211
2020-08-14,-14.293670193239052,1.4168207232048853,51842.90873570644
2020-08-13,-14.293670193239052,1.3285866398490715,51820.67374670078
2020-08-12,-14.293670193239052,2.6737849349471707,52159.6637170655
2020-08-11,-14.293670193239052,2.248967615335991,52052.60975252348
2020-08-10,-14.293670193239052,2.5332706335969934,52124.25411312525
2020-08-07,-14.293670193239052,3.151896877786661,52280.14792666105
2020-08-06,-14.293670193239052,2.2305238391719926,52047.961920930145
2020-08-05,-14.293670193239052,1.6713076246579648,51907.03943487262
2020-08-04,-14.293670193239052,1.9604438794225865,51979.9017710733
2020-08-03,-14.293670193239052,2.0536582849149694,52003.391801257385
2020-07-30,-14.293670193239052,1.4141260375490254,51842.22967492117
2020-07-29,-14.293670193239052,2.0824313391992866,52010.64261093703
2020-07-28,-14.293670193239052,1.6428166603817267,51899.859711875004
2020-07-27,-14.293670193239052,2.5248085512812515,52122.12166838168
