,open,high,low,last,close,volume,date,symbol,exchange
54,29.23,29.335,29.03,29.325,29.73,3795.0,2020-11-25T17:00:00+0000,HMC,IEXG
55,93.42,93.46,91.93,92.56,90.8,42758.0,2020-11-25T17:00:00+0000,SNE,IEXG
56,140.78,141.27,140.12,141.18,143.84,3086.0,2020-11-25T17:00:00+0000,TM,IEXG
57,6.14,6.155,6.085,6.105,6.23,7901.0,2020-11-25T16:00:00+0000,SMFG,IEXG
58,93.42,93.46,91.93,92.405,90.8,38595.0,2020-11-25T16:00:00+0000,SNE,IEXG
59,140.78,140.78,140.12,140.62,143.84,1388.0,2020-11-25T16:00:00+0000,TM,IEXG
60,140.78,140.78,140.15,140.15,143.84,441.0,2020-11-25T15:00:00+0000,TM,IEXG
61,18.71,18.96,18.605,18.65,18.69,738685.0,2020-11-25T02:00:00+0000,CAJ,IEXG
62,12.9,12.9,12.9,12.9,12.9,0.0,2020-11-25T02:00:00+0000,CHUEF,IEXG
63,29.64,29.8,29.5019,29.73,29.11,657080.0,2020-11-25T02:00:00+0000,HMC,IEXG
64,78.18,78.18,76.5,77.17,77.35,19089.0,2020-11-25T02:00:00+0000,HTHIY,IEXG
65,61.53,61.87,61.33,61.74,59.975,21026.0,2020-11-25T02:00:00+0000,MARUY,IEXG
66,2.77,2.8097,2.75,2.8,2.79,278136.0,2020-11-25T02:00:00+0000,MFG,IEXG
67,83.11,83.4,80.97,81.79,78.61,50059.0,2020-11-25T02:00:00+0000,TOELY,IEXG
68,4.61,4.65,4.59,4.62,4.58,2233393.0,2020-11-25T02:00:00+0000,MUFG,IEXG
69,10.6,10.75,10.55,10.74,10.695,342777.0,2020-11-25T02:00:00+0000,PCRFY,IEXG
70,32.67,33.51,32.65,32.77,32.845,252479.0,2020-11-25T02:00:00+0000,SFTBY,IEXG
71,6.21,6.255,6.2,6.23,6.16,2213790.0,2020-11-25T02:00:00+0000,SMFG,IEXG
72,12.26,12.26,12.26,12.26,12.26,0.0,2020-11-25T02:00:00+0000,SMTOF,IEXG
73,91.05,91.55,90.03,90.8,89.79,1100621.0,2020-11-25T02:00:00+0000,SNE,IEXG
74,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-25T02:00:00+0000,TYHOF,IEXG
75,143.9,144.53,143.18,143.84,143.26,188319.0,2020-11-25T02:00:00+0000,TM,IEXG
76,4.61,4.65,4.59,4.62,4.58,38719.0,2020-11-24T20:00:00+0000,MUFG,IEXG
77,6.2,6.255,6.19,6.245,6.16,21091.0,2020-11-24T20:00:00+0000,SMFG,IEXG
78,91.23,91.49,90.045,90.56,89.79,34186.0,2020-11-24T20:00:00+0000,SNE,IEXG
